Protein "Molecular weight (g/mol)" d00 d05 d10 d20 d20+06h d20+48h d00 d05 d10 d20 d20+06h d20+48h
Rv0042c 22410.9 487 407 328 281 324 399 35.7 48.8 50.7 18.5 21.9 75.6
Rv0044c 28524.3 321 271 357 302 297 384 23.5 25.6 25.0 25.8 42.3 106.3
Rv0045c 32099.1 296 177 163 193 185 174 47.7 22.2 44.2 12.5 8.0 43.3
Rv0046c 40093.6 1079 2174 1757 1815 1959 1120 266.9 268.0 348.4 194.5 44.3 98.8
Rv0048c 30785.0 209 225 238 188 212 227 5.4 16.2 20.4 10.5 16.0 39.0
Rv0050 71118.3 237 228 216 183 211 221 19.2 12.9 31.5 22.2 29.9 28.3
Rv0052 20355.3 28 29 37 30 27 26 3.7 3.3 12.2 1.9 5.2 1.1
Rv0053 10934.7 3145 3460 3303 3802 3200 3194 213.2 38.6 223.6 698.6 124.3 716.1
Rv0054 17321.1 2332 2046 1837 1950 2109 2694 144.4 336.1 491.0 289.0 214.5 180.0
Rv0055 9543.2 1133 1486 827 788 807 1491 605.1 333.8 146.2 140.1 118.0 755.7
Rv0056 16169.6 1208 1217 890 706 691 1180 187.8 102.5 90.3 55.6 119.2 160.5
Rv0060 38563.2 106 109 106 101 103 109 6.2 12.7 7.7 9.5 2.8 26.5
Rv0062 39974.0 345 181 180 202 169 393 9.5 32.0 56.0 133.6 17.7 38.0
Rv0066c 82550.0 977 1160 1151 1026 1135 1023 74.8 73.6 27.8 36.1 80.1 186.5
Rv0068 32398.9 279 229 226 224 239 229 53.8 9.0 28.4 24.3 23.3 21.7
Rv0069c 48576.2 95 69 67 70 66 56 25.4 2.4 1.4 21.6 5.1 12.5
Rv0070c 45525.7 127 359 415 365 326 195 15.2 192.6 249.5 177.3 97.0 69.5
Rv0072 36410.1 370 275 238 182 207 324 10.4 31.2 17.0 34.2 14.1 45.9
Rv0074 42791.3 79 85 99 89 83 68 2.5 10.0 8.6 3.0 12.8 13.4
Rv0075 42766.0 119 108 102 80 81 90 14.7 3.6 10.6 4.7 8.8 17.6
Rv0077c 29686.3 138 162 166 163 174 144 7.2 24.4 20.3 6.6 7.6 26.2
Rv0078 21924.2 69 70 60 65 76 58 6.1 6.3 15.8 4.1 2.0 4.5
Rv0078A 21612.6 105 166 174 158 158 153 14.2 4.5 9.0 6.2 10.4 43.2
Rv0079 29474.7 165 1261 1194 1330 1401 490 32.2 162.0 172.6 84.3 146.3 111.2
Rv0080 16573.9 105 318 361 335 351 157 14.1 19.4 15.5 15.6 17.4 34.4
Rv0081 12324.3 64 126 136 103 116 76 19.8 4.5 8.4 13.7 12.1 19.4
Rv0088 24617.3 829 1140 1153 1097 1160 1109 117.7 218.3 412.0 112.9 160.0 234.4
Rv0091 27339.6 126 127 98 106 109 119 14.7 16.3 23.5 7.4 16.1 25.0
Rv0092 78850.7 231 179 154 202 255 215 16.4 38.3 14.3 38.2 19.8 73.0
Rv0097 32641.3 28 25 20 21 26 23 9.1 6.9 3.1 6.9 5.7 3.3
Rv0103c 77477.4 55 56 35 40 32 62 14.4 8.5 32.7 19.3 19.1 12.8
Rv0108c 7572.6 351 267 238 265 252 214 83.0 6.4 86.1 5.2 21.3 49.0
Rv0117 34191.2 42 42 46 42 46 38 16.3 4.5 2.7 3.8 2.1 14.7
Rv0118c 61171.3 56 38 45 51 44 47 3.0 4.4 9.1 20.2 14.6 7.2
Rv0119 55158.8 321 274 269 231 233 276 51.7 17.0 64.1 29.8 6.7 57.4
Rv0120c 75630.5 220 214 251 181 196 177 43.2 8.1 21.2 14.0 6.9 32.3
Rv0123 13623.5 97 171 135 126 154 131 32.1 60.0 48.5 17.7 38.7 35.7
Rv0125 34926.1 954 936 562 199 196 798 59.6 236.2 136.7 33.3 28.9 163.6
Rv0126 68593.0 305 356 293 249 278 343 12.5 6.2 32.6 9.6 31.9 54.1
Rv0127 49879.1 344 375 399 383 423 430 16.5 25.4 28.9 16.5 11.1 27.8
Rv0129c 36771.3 2461 2244 1663 2210 2024 1840 409.3 411.9 968.3 195.9 280.3 151.2
Rv0130 16007.2 116 81 101 90 113 101 1.1 16.8 7.2 8.5 2.3 20.1
Rv0131c 50223.6 158 178 186 130 156 135 16.8 5.7 34.4 11.5 17.7 14.7
Rv0133 22827.1 76 55 65 76 85 97 4.2 7.7 17.3 9.0 5.4 34.0
Rv0134 33796.7 183 226 206 201 214 269 23.0 11.1 29.2 12.6 36.5 35.3
Rv0135c 21943.1 253 212 95 89 103 119 19.3 32.8 15.0 12.9 12.6 61.6
Rv0137c 20484.8 161 162 132 133 153 192 8.8 5.8 21.6 6.8 18.8 19.9
Rv0139 36976.2 50 55 70 199 122 42 7.4 17.9 31.4 228.7 40.0 12.8
Rv0140 13766.5 399 370 371 289 606 438 184.4 27.0 47.1 37.3 127.6 148.5
Rv0141c 15490.5 102 106 107 96 111 120 7.8 6.9 8.9 5.2 8.7 25.8
Rv0144 30610.9 305 298 252 202 219 267 14.9 22.1 6.8 14.3 20.0 52.7
Rv0145 34349.6 205 246 178 166 218 237 36.9 20.0 21.2 19.6 11.3 16.5
Rv0146 34016.4 395 549 482 495 512 549 36.1 23.1 98.8 25.3 21.8 8.6
Rv0147 55035.1 649 558 591 704 745 565 143.0 143.2 123.5 17.0 103.0 62.9
Rv0148 29778.7 1725 1722 1819 1577 1526 1625 109.4 67.7 140.4 132.1 155.6 468.2
Rv0149 33278.5 172 188 187 156 171 165 11.2 7.9 7.6 19.9 14.5 16.5
Rv0153c 30153.8 367 546 788 662 647 378 37.9 185.6 377.3 372.1 113.7 94.4
Rv0154c 44343.4 341 379 275 263 278 430 56.2 24.0 7.1 14.0 22.5 83.7
Rv0155 37693.9 1354 1557 1492 1407 1535 1811 109.1 90.6 126.7 22.0 88.6 236.0
Rv0157 48858.3 720 680 612 653 782 812 122.9 30.5 57.9 103.6 46.1 152.2
Rv0158 24128.1 173 218 207 189 209 171 17.4 22.9 43.3 7.3 16.8 62.2
Rv0161 47355.9 198 197 180 194 182 215 50.9 12.2 13.5 37.2 17.8 69.2
Rv0162c 39333.3 20 53 34 63 57 32 1.9 22.8 17.3 25.0 25.1 8.8
Rv0164 17738.3 407 531 553 571 533 493 43.1 19.6 49.2 114.1 8.5 119.7
Rv0166 59887.8 157 98 92 77 77 100 36.9 8.5 4.2 5.8 6.2 18.4
Rv0167 27743.1 76 62 68 68 73 44 25.1 1.3 20.4 8.6 7.3 3.9
Rv0169 47786.4 299 143 140 139 144 140 105.5 15.7 19.6 11.4 24.8 4.6
Rv0170 37727.2 369 140 134 123 117 138 144.4 20.5 18.5 5.0 26.3 27.0
Rv0171 53817.3 334 158 128 113 141 163 73.0 17.0 26.9 6.7 38.3 40.8
Rv0172 56498.4 375 134 136 141 139 154 170.1 23.5 20.8 20.9 27.0 34.6
Rv0173 42239.6 377 165 131 150 155 147 104.0 32.6 37.4 35.0 39.3 48.6
Rv0174 54005.4 400 147 119 114 130 153 192.7 48.7 5.2 8.6 24.4 29.4
Rv0175 22323.9 283 256 254 204 240 253 29.2 8.8 41.4 4.8 17.8 40.5
Rv0176 35405.1 281 245 246 221 229 265 18.9 16.9 19.8 16.1 23.8 26.4
Rv0177 20164.0 176 138 111 122 145 161 18.3 12.0 5.2 12.7 28.8 17.1
Rv0178 25879.7 328 312 291 229 238 281 3.5 8.5 16.3 7.4 24.5 17.5
Rv0179c 39160.3 39 17 17 20 21 24 4.4 3.2 1.4 0.3 0.5 9.5
Rv0180c 47593.4 402 421 414 417 468 479 38.8 26.6 87.7 33.8 67.2 41.4
Rv0182c 40982.7 50 51 44 30 39 47 11.3 0.7 5.6 6.6 13.4 1.3
Rv0183 30261.6 642 692 745 712 729 721 51.9 30.1 46.3 105.0 43.7 89.7
Rv0184 26826.1 184 94 401 192 206 305 27.8 4.1 62.3 184.9 186.7 34.2
Rv0185 18364.9 43 33 30 29 33 68 5.9 2.2 4.4 2.2 3.3 6.8
Rv0186 73520.2 166 146 120 147 171 183 6.4 14.1 52.6 17.4 23.6 37.1
Rv0186A 5718.6 330 732 1120 1494 1659 856 93.3 189.9 389.1 223.6 400.1 223.3
Rv0187 23079.4 252 279 272 240 283 236 21.1 6.2 39.2 15.4 8.6 48.2
Rv0189c 59351.7 651 660 508 464 515 719 81.8 53.9 13.4 28.4 21.4 75.5
Rv0190 10364.8 259 524 579 538 549 384 9.5 21.7 51.5 65.4 74.6 68.5
Rv0196 21241.2 212 519 467 478 477 331 61.6 29.7 42.8 73.1 45.1 66.7
Rv0197 82571.7 38 200 88 89 141 86 8.0 34.8 37.6 46.6 14.4 47.6
Rv0198c 73881.6 331 277 271 232 233 369 15.0 27.8 27.0 30.1 26.7 25.9
Rv0199 23520.3 53 56 51 37 42 48 1.8 3.1 6.9 1.3 3.9 10.7
Rv0200 24028.8 113 102 92 107 98 110 4.6 13.9 4.6 36.4 19.0 22.5
Rv0201c 18483.9 118 82 80 52 89 122 9.7 16.7 8.0 9.4 20.1 5.1
Rv0202c 103502.0 142 256 305 550 721 79 68.1 211.9 223.4 423.2 113.3 27.1
Rv0206c 100872.0 549 394 354 309 369 497 33.1 52.7 51.6 41.5 34.4 73.3
Rv0207c 26175.6 314 282 224 221 212 249 20.7 28.5 19.0 22.4 31.3 24.7
Rv0208c 28546.9 169 108 112 114 107 117 23.4 0.8 13.5 11.3 12.8 20.4
Rv0211 67253.1 1809 3471 4132 2949 3128 2685 57.9 337.6 439.1 384.2 131.8 272.3
Rv0214 58871.0 185 148 119 126 136 159 7.2 12.2 23.2 7.1 13.1 20.3
Rv0216 35756.5 77 59 67 66 83 83 1.4 10.8 9.8 1.1 2.2 4.3
Rv0217c 32184.8 31 28 27 24 26 28 3.6 5.7 6.3 3.6 1.5 3.3
Rv0221 51829.6 82 77 74 74 81 63 4.5 9.0 9.4 1.7 6.8 10.9
Rv0222 27280.3 379 432 422 402 414 371 69.1 68.7 7.2 39.1 24.7 83.7
Rv0223c 51157.4 129 135 161 123 134 125 24.0 4.1 23.9 10.3 7.3 27.5
Rv0227c 45527.8 452 649 659 499 571 523 18.9 80.2 169.2 88.6 103.3 116.6
Rv0229c 25183.8 49 55 42 48 56 55 3.3 3.4 6.4 6.5 2.6 8.2
Rv0230c 35853.8 171 177 194 148 178 175 25.0 18.9 25.0 6.4 10.2 40.9
Rv0231 63494.8 575 492 507 485 538 554 60.2 37.8 38.3 53.4 94.7 33.8
Rv0233 35656.1 58 110 121 137 134 50 2.7 15.5 13.3 18.1 12.2 9.7
Rv0234c 54299.6 445 569 575 435 485 538 51.2 35.5 76.9 19.0 26.8 185.0
Rv0237 39518.9 411 346 314 236 265 465 18.2 28.7 17.1 32.2 22.5 32.2
Rv0241c 30162.9 611 270 479 505 594 556 141.7 113.6 123.4 43.5 26.1 60.9
Rv0242c 46798.1 2194 2424 2586 1975 2042 2772 88.3 421.8 517.6 295.8 245.3 932.8
Rv0243 46075.2 1372 1668 1844 1346 1400 1820 85.4 252.8 422.1 255.0 70.6 514.4
Rv0244c 66014.2 423 4360 4451 5413 5675 1630 132.8 510.4 627.4 855.8 1012.6 266.0
Rv0245 17006.5 98 159 193 166 199 96 8.5 25.3 6.6 4.5 32.2 13.8
Rv0247c 28625.9 1042 1193 1098 1010 1054 1123 39.1 50.4 111.5 52.2 36.7 190.0
Rv0248c 70680.6 1137 1286 1092 991 1093 1173 47.3 108.4 129.4 110.7 51.4 151.4
Rv0249c 31077.2 267 258 267 258 246 302 25.6 27.6 92.1 56.0 84.0 31.7
Rv0250c 10878.1 883 609 550 452 541 513 285.8 12.6 49.8 42.1 39.9 123.4
Rv0251c 17785.9 158 189 261 739 6128 1397 14.0 10.9 48.9 428.6 1249.8 589.9
Rv0262c 20005.6 130 130 118 95 90 104 9.8 1.7 15.1 14.5 9.9 27.2
Rv0263c 32203.5 98 120 136 120 102 78 18.8 9.0 7.0 10.9 13.7 27.3
Rv0266c 129618.0 162 208 207 164 188 188 27.5 17.2 21.3 29.4 18.5 20.6
Rv0270 59892.6 1092 1307 1374 1323 1493 940 103.3 69.0 85.4 92.9 69.6 81.1
Rv0271c 78477.2 407 620 605 500 564 446 33.6 34.0 30.7 45.7 57.3 20.0
Rv0272c 41059.4 124 96 84 116 133 106 18.9 14.3 38.6 7.6 31.0 17.7
Rv0274 21081.8 70 119 128 116 113 63 3.4 6.1 4.9 16.2 10.2 13.1
Rv0275c 25949.3 40 40 43 55 64 37 1.6 8.2 6.1 12.3 9.5 7.8
Rv0281 32965.9 535 688 644 550 587 663 36.9 33.7 52.7 63.4 31.0 137.2
Rv0282 68106.6 632 558 443 400 436 536 24.8 6.6 117.6 31.5 52.7 52.2
Rv0283 55942.5 622 421 284 268 323 400 169.5 12.5 84.0 11.3 47.9 1.9
Rv0284 145138.0 686 607 546 535 605 605 39.6 41.0 116.8 63.0 42.1 36.1
Rv0286 51787.8 70 60 48 48 54 75 7.1 14.3 5.1 5.8 10.6 15.7
Rv0287 9777.9 225 80 49 44 45 146 13.3 1.5 8.0 3.9 9.5 20.1
Rv0289 31558.8 116 100 97 83 98 105 13.9 9.5 15.6 13.5 2.9 30.2
Rv0290 47944.0 632 455 324 299 327 468 49.7 35.8 68.9 41.5 42.0 72.3
Rv0291 46127.1 341 285 184 143 157 258 62.6 30.6 22.1 5.4 8.9 46.0
Rv0292 35932.1 410 325 248 249 295 346 49.1 13.7 51.5 26.1 46.8 21.8
Rv0293c 43970.5 80 89 75 74 101 87 16.6 10.7 7.3 16.1 9.3 1.5
Rv0295c 29774.6 252 236 186 159 194 187 28.6 27.2 34.1 35.1 9.8 41.7
Rv0296c 51814.0 524 574 687 475 506 577 18.1 83.1 68.9 57.6 89.3 78.5
Rv0298 8130.2 451 376 413 425 487 607 87.8 150.6 63.8 66.8 35.3 110.9
Rv0300 8088.3 140 165 163 148 156 143 22.2 5.3 21.2 13.7 20.2 31.5
Rv0301 15713.9 93 104 95 99 95 96 15.0 7.2 9.2 11.2 4.6 17.4
Rv0303 32711.4 217 175 152 137 151 160 9.5 20.4 48.6 29.0 41.7 66.3
Rv0306 24865.7 95 102 86 82 120 121 40.8 6.6 48.7 53.7 8.4 30.4
Rv0308 25613.4 339 428 392 336 362 558 134.8 132.4 87.5 49.3 36.6 268.3
Rv0311 44610.9 67 98 87 80 89 89 6.3 5.9 14.6 11.3 17.4 4.8
Rv0312 64143.9 129 69 42 46 48 82 6.3 8.1 12.9 1.7 10.4 12.4
Rv0313 13916.2 214 186 175 144 203 214 57.7 30.4 62.8 56.3 20.0 49.9
Rv0314c 22531.2 57 48 46 38 40 47 3.3 1.9 8.2 3.8 4.8 9.1
Rv0315 32186.1 1036 806 610 435 393 757 99.2 90.6 164.4 38.1 75.0 237.3
Rv0316 22331.7 108 126 119 117 125 138 2.9 1.8 4.4 25.7 14.6 23.6
Rv0317c 28286.6 196 185 198 185 213 169 18.3 14.0 28.4 10.6 14.0 30.4
Rv0319 23192.9 116 169 132 142 149 132 6.8 12.6 56.7 20.9 3.0 13.2
Rv0321 20837.6 213 242 260 200 181 228 13.7 20.3 25.2 27.7 9.4 52.0
Rv0324 24121.4 100 112 118 97 113 87 2.7 3.5 8.0 12.3 3.8 24.9
Rv0328 21379.1 75 78 87 75 66 68 25.8 10.9 3.0 1.3 3.9 25.3
Rv0331 40788.4 239 242 263 242 274 280 48.2 26.6 55.4 36.2 23.7 54.8
Rv0332 28602.2 214 240 198 167 189 200 4.2 20.8 17.4 7.9 9.7 32.9
Rv0333 13074.4 378 347 353 332 338 347 81.3 7.4 24.1 36.9 17.4 68.3
Rv0334 31492.0 434 559 444 448 452 458 32.1 136.9 49.0 49.2 26.7 34.3
Rv0337c 47318.0 230 181 146 146 166 260 17.4 33.4 19.9 5.8 5.5 45.2
Rv0338c 95453.7 271 294 317 259 295 256 16.2 40.3 10.4 13.1 44.0 53.5
Rv0339c 87743.9 25 26 28 22 28 27 0.8 1.5 5.0 2.7 1.3 4.4
Rv0342 70082.9 344 412 425 395 399 431 216.0 42.6 27.0 59.2 38.1 52.4
Rv0344c 19276.7 43 36 14 15 20 37 9.6 6.4 4.0 0.9 7.1 13.4
Rv0347 36565.0 230 381 365 424 442 349 37.1 71.5 58.4 55.9 28.8 102.8
Rv0348 24251.2 85 103 68 80 96 115 36.1 8.0 26.6 12.3 7.5 30.4
Rv0350 66830.9 19598 22517 19527 19996 21937 22568 1047.3 645.8 644.6 3446.7 2880.5 2555.6
Rv0351 24500.6 2049 1900 2057 1986 2562 2016 408.1 165.8 201.8 238.9 6.0 311.4
Rv0352 41345.1 783 1118 1097 926 1139 1103 84.9 77.7 215.8 38.9 124.7 138.8
Rv0353 14126.2 43 35 33 40 54 40 7.9 5.0 6.0 5.7 9.6 8.6
Rv0356c 22878.9 211 216 169 137 156 177 20.2 5.2 26.4 13.6 27.2 24.5
Rv0357c 46822.5 400 412 382 349 417 423 52.4 38.2 16.6 20.7 28.4 78.6
Rv0360c 15297.3 445 367 354 300 309 329 80.2 25.9 23.5 32.8 38.9 118.9
Rv0361 29982.3 91 106 105 78 100 109 15.1 9.2 15.8 18.0 15.5 23.6
Rv0363c 36544.5 1698 2095 2355 2194 2202 1992 43.3 74.6 100.0 302.0 147.8 259.2
Rv0365c 41504.0 63 66 78 72 78 64 2.9 13.1 9.6 4.4 6.5 16.0
Rv0379 7966.1 3044 3606 3713 3470 3251 3948 430.8 384.1 460.0 662.3 197.0 615.1
Rv0382c 18860.4 287 335 353 288 339 305 30.8 30.0 5.9 23.3 60.1 84.1
Rv0383c 31801.4 381 428 358 374 433 412 23.4 35.0 71.4 24.9 75.4 47.8
Rv0384c 92536.2 909 975 947 889 1614 1522 81.3 81.8 59.7 62.4 36.4 246.4
Rv0389 43645.7 226 287 258 241 244 226 2.4 40.7 8.2 13.7 22.4 19.1
Rv0390 15360.0 920 1431 1225 1428 1322 904 135.4 242.6 269.4 412.8 240.1 86.4
Rv0391 43345.2 541 817 896 875 924 537 96.0 175.7 335.7 46.6 94.6 85.9
Rv0392c 50385.3 266 273 235 268 310 301 22.1 8.4 38.8 40.2 45.2 44.7
Rv0394c 25278.7 214 246 214 229 227 246 42.8 26.3 2.1 16.2 47.1 66.0
Rv0400c 42297.4 326 329 338 301 336 334 14.3 15.9 3.4 7.9 27.5 20.2
Rv0404 63843.4 103 102 87 85 85 94 14.3 7.0 6.6 10.5 15.9 14.2
Rv0406c 29220.4 76 71 74 62 74 79 9.9 4.5 8.2 0.6 4.0 6.8
Rv0407 36956.8 544 601 613 626 597 715 43.6 130.1 76.3 28.8 192.8 114.3
Rv0408 72930.5 84 82 67 62 69 83 7.0 5.6 15.0 2.1 3.3 23.8
Rv0409 41318.2 47 44 44 40 47 45 1.9 5.1 5.4 4.8 6.8 2.5
Rv0410c 81577.4 370 356 337 406 403 352 44.2 21.0 66.9 12.1 62.3 43.4
Rv0411c 35405.7 451 404 397 366 373 384 27.2 35.4 24.2 10.7 29.9 78.7
Rv0412c 47083.6 250 220 229 197 235 207 20.1 23.0 41.2 26.2 36.1 9.9
Rv0413 23481.2 134 133 138 116 128 131 2.9 5.2 17.7 2.4 42.8 16.1
Rv0414c 23239.3 141 177 173 144 149 162 15.3 25.6 13.7 11.9 14.1 32.0
Rv0415 36534.8 91 97 99 79 87 91 8.0 9.7 15.8 11.7 8.6 20.8
Rv0417 25845.7 130 157 149 130 132 136 18.0 17.4 1.1 26.6 15.0 21.7
Rv0418 52042.4 374 286 259 206 245 400 17.9 21.8 25.0 11.2 27.5 8.5
Rv0419 52949.1 38 43 43 37 53 41 1.3 7.5 5.0 3.6 18.9 10.6
Rv0421c 21737.8 106 118 109 105 107 123 15.3 21.8 24.1 30.7 14.2 32.1
Rv0422c 27510.5 43 40 36 40 42 47 7.3 9.6 2.0 6.4 14.4 3.4
Rv0423c 59897.7 528 619 483 522 563 636 33.9 35.0 74.5 114.7 208.7 91.3
Rv0427c 32108.3 238 245 208 228 192 296 8.0 7.8 32.1 43.8 25.5 46.3
Rv0428c 32650.1 89 92 93 86 91 96 3.0 7.0 4.8 0.4 8.6 18.0
Rv0429c 20938.7 286 317 283 243 264 325 13.5 37.6 2.1 15.8 13.3 38.2
Rv0430 11723.5 48 33 24 20 18 62 7.8 8.2 1.4 3.9 4.6 22.4
Rv0431 16905.2 371 405 375 306 345 379 10.4 30.7 37.2 13.0 46.8 83.9
Rv0432 23844.5 289 237 272 246 287 285 16.3 8.8 18.4 17.7 26.1 6.0
Rv0433 42277.2 197 198 177 145 167 202 10.1 6.8 12.1 20.9 15.3 20.2
Rv0434 23750.3 69 48 66 52 45 77 14.9 11.4 40.4 6.1 8.3 22.9
Rv0435c 75314.0 224 258 252 238 254 232 27.0 28.0 27.1 13.5 19.7 33.9
Rv0437c 24227.9 244 248 256 263 299 222 30.7 15.1 57.8 17.7 14.3 17.7
Rv0438c 41989.0 135 128 122 119 137 134 5.0 5.9 12.0 11.6 15.3 17.7
Rv0439c 33650.1 458 481 475 450 514 517 24.8 61.4 92.9 29.3 32.4 30.0
Rv0440 56726.7 38755 45862 45867 40434 39451 38305 2350.7 3732.4 2163.0 1122.5 689.8 6092.0
Rv0441c 15004.0 111 130 159 139 137 101 15.5 6.3 9.2 7.2 8.2 9.7
Rv0443 18958.3 275 365 358 361 358 351 21.1 7.2 13.1 35.9 25.3 60.7
Rv0444c 23883.1 406 383 428 381 434 428 53.7 7.1 22.1 22.3 33.1 35.7
Rv0445c 21034.7 183 219 212 164 179 199 18.5 1.5 10.9 12.9 19.0 51.5
Rv0450c 105202.0 63 59 55 56 72 55 10.3 7.2 11.6 4.0 9.6 16.7
Rv0455c 16639.8 175 170 145 156 150 139 44.7 6.2 7.4 15.0 26.6 37.7
Rv0456c 33085.8 63 65 72 68 70 52 2.3 19.6 20.8 30.0 15.5 14.4
Rv0457c 74464.1 218 242 294 292 291 242 33.3 15.9 12.4 5.5 11.7 40.2
Rv0458 54574.8 293 223 285 189 225 181 65.4 11.3 64.6 22.8 7.2 34.7
Rv0462 49207.1 1722 1849 1615 1256 1309 1854 184.3 117.3 108.0 110.7 50.6 313.1
Rv0464c 21304.6 264 277 252 247 281 310 9.0 18.1 28.9 15.3 43.7 58.0
Rv0466 30153.4 606 692 670 633 656 722 62.7 5.6 34.1 78.8 15.6 74.8
Rv0467 47086.6 606 3962 4059 4519 4874 2645 241.1 381.5 1174.3 578.6 593.2 76.2
Rv0468 30696.4 871 1266 1149 1051 1158 1260 48.9 26.4 87.0 81.0 57.2 186.8
Rv0469 33095.7 868 1142 882 802 825 968 94.6 102.2 54.0 26.2 26.8 163.7
Rv0470c 33027.7 443 400 381 337 353 362 43.1 20.2 61.3 40.0 32.7 87.9
Rv0472c 26385.5 226 151 152 145 169 189 15.6 19.2 41.8 10.6 14.6 57.7
Rv0473 50556.9 85 137 145 136 148 99 3.7 14.7 27.2 0.4 8.8 5.8
Rv0474 15364.2 273 366 316 287 352 287 14.1 9.9 38.4 15.2 6.7 45.7
Rv0475 21534.5 3606 3468 4666 4599 5299 5279 327.0 1832.4 1918.7 643.0 156.4 1654.3
Rv0479c 37016.0 382 345 366 347 414 401 18.6 25.9 15.2 20.3 63.9 10.7
Rv0480c 28995.0 49 62 51 56 66 60 2.7 11.5 16.9 11.5 8.1 8.6
Rv0482 38521.0 60 61 52 60 58 56 1.6 7.8 12.5 7.8 3.1 9.9
Rv0483 47858.8 62 75 57 53 72 81 4.7 6.1 4.5 11.9 15.9 5.0
Rv0484c 26416.1 246 335 301 300 333 358 11.1 26.9 76.1 28.6 25.9 28.6
Rv0485 46066.6 152 186 172 238 255 103 52.3 46.5 48.7 30.5 55.2 5.1
Rv0489 27215.8 459 630 647 539 613 526 41.6 41.7 82.1 8.2 47.9 54.8
Rv0490 44792.7 169 204 185 192 232 182 4.6 34.1 59.5 16.9 18.8 19.3
Rv0491 24849.4 159 182 157 147 183 179 18.9 5.6 16.5 5.1 15.1 11.4
Rv0493c 35395.0 104 80 82 84 97 80 13.2 10.5 2.5 9.5 3.7 7.2
Rv0495c 32960.2 106 122 116 185 115 115 12.1 13.1 18.3 137.7 10.8 10.0
Rv0496 34843.5 179 178 172 170 187 189 4.3 5.2 28.3 11.1 28.9 28.6
Rv0497 33092.1 231 186 165 153 163 201 16.9 16.1 26.6 11.4 15.6 17.2
Rv0500 30171.6 406 528 526 395 442 460 31.5 40.1 65.0 38.8 56.0 104.1
Rv0500A 8507.7 550 554 491 450 504 352 156.0 33.0 72.4 29.6 45.0 27.7
Rv0501 41032.1 106 60 64 62 67 70 10.6 7.2 7.3 6.1 2.9 9.6
Rv0502 39287.9 127 221 255 214 285 180 11.9 13.7 66.5 16.8 63.2 7.0
Rv0503c 34660.1 1062 1099 665 542 637 1031 156.7 176.5 77.0 38.5 63.2 131.1
Rv0504c 18359.9 392 359 301 296 296 389 27.5 7.0 31.3 20.9 27.1 88.9
Rv0505c 39508.0 295 322 340 305 350 264 17.0 79.2 97.5 34.5 20.2 56.5
Rv0509 49329.3 111 140 167 185 181 126 11.5 39.4 43.1 43.1 27.9 40.7
Rv0510 31906.3 186 217 187 195 165 162 15.4 15.2 20.5 25.9 3.2 30.6
Rv0511 58835.6 826 685 556 575 638 1065 182.5 74.7 97.3 68.7 100.4 170.0
Rv0512 34871.5 172 190 160 173 207 208 37.7 22.3 50.2 30.2 19.2 39.9
Rv0513 19401.3 114 88 63 54 59 95 10.3 5.6 12.1 6.8 12.7 8.7
Rv0516c 16987.4 102 94 46 44 45 113 12.8 30.0 8.5 10.1 7.6 32.5
